# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
357	0x1.947ae147ae148p+0	0x1.9064000000000p+19	0x1.ad7b1a013926fp+2
358	0x1.147ae147ae148p+1	0x1.cafc000000000p+19	0x1.be7725e987f29p+2
359	0x1.c51eb851eb852p+1	0x1.9f0a000000000p+19	0x1.f28f19a3bdbf1p+2
360	0x1.6e147ae147ae1p+0	0x1.3880000000000p+19	0x1.a010fc764326ep+2
361	-0x1.0f5c28f5c28f6p+0	0x1.9a28000000000p+18	0x1.4ecdd0bfe9b3ap+2
362	0x1.c7ae147ae147bp+1	0x1.1b34000000000p+20	0x1.ef64c95bc7ca8p+2
363	0x1.170a3d70a3d71p+1	0x1.2ebc000000000p+21	0x1.9d5e59644cd7cp+2
364	0x1.9c28f5c28f5c3p+2	0x1.7318000000000p+20	0x1.11ec093262511p+3
365	0x1.170a3d70a3d71p+3	0x1.5aae000000000p+20	0x1.43e96cdb18af2p+3
1	0x1.c47ae147ae148p+2	0x1.bc56000000000p+20	0x1.15326cf0516b8p+3
2	0x1.6666666666666p+2	0x1.5f90000000000p+20	0x1.0ae96fea05f73p+3
3	0x1.6666666666666p+2	0x1.6e36000000000p+19	0x1.17559c7e48055p+3
4	0x1.147ae147ae148p+3	0x1.7f4d000000000p+20	0x1.3e2e62ac9e4dcp+3
5	0x1.f3d70a3d70a3dp+2	0x1.e848000000000p+19	0x1.4623d64fc651ep+3
6	0x1.c5c28f5c28f5cp+2	0x1.3af1000000000p+20	0x1.3b21f331ca1a7p+3
7	0x1.c147ae147ae14p+2	0x1.c138000000000p+19	0x1.2df059ce1402ap+3
8	0x1.0eb851eb851ecp+3	0x1.70a7000000000p+21	0x1.4027993cfdc36p+3
9	0x1.67ae147ae147bp+3	0x1.3af1000000000p+21	0x1.7bb80fe1b01e5p+3
10	0x1.270a3d70a3d71p+3	0x1.86a0000000000p+19	0x1.44cd2d4347eadp+3
11	0x1.db851eb851eb8p+2	0x1.f6ee000000000p+19	0x1.1add089ef05f7p+3
12	0x1.223d70a3d70a4p+3	0x1.3fd3000000000p+20	0x1.482828d1ed07cp+3
13	0x1.4800000000000p+3	0x1.a65d000000000p+20	0x1.729e45dbf53ddp+3
14	0x1.97ae147ae147bp+2	0x1.f0d3800000001p+21	0x1.04fa260bb65b7p+3
15	0x1.3147ae147ae14p+2	0x1.6954000000000p+21	0x1.f618cdf9659d3p+2
16	0x1.bf5c28f5c28f6p+2	0x1.02ca000000000p+20	0x1.30088c45c3a8cp+3
17	0x1.0d1eb851eb852p+3	0x1.44b5000000000p+20	0x1.477bbd8fbc4bbp+3
18	0x1.3b33333333333p+3	0x1.4244000000000p+20	0x1.47b52dc675993p+3
19	0x1.1e66666666666p+3	0x1.aa06800000000p+21	0x1.3d86977b37288p+3
20	0x1.29eb851eb851fp+3	0x1.4fb1800000000p+21	0x1.49f57891604f4p+3
21	0x1.6f5c28f5c28f6p+2	0x1.6e36000000000p+21	0x1.f6ce9fe31f02dp+2
22	0x1.8cccccccccccdp+0	0x1.a65d000000000p+21	0x1.87325373a55c9p+2
23	-0x1.bd70a3d70a3d7p-1	0x1.0673800000000p+22	0x1.41e2284019d19p+2
24	-0x1.b851eb851eb85p-2	0x1.cd6d000000000p+21	0x1.69c3a2e24e8bap+2
25	-0x1.ccccccccccccdp+0	0x1.2f58400000000p+22	0x1.1f06b8edd06e4p+2
26	0x1.bae147ae147aep+0	0x1.8911000000000p+20	0x1.955e20064d150p+2
27	0x1.aa3d70a3d70a4p+1	0x1.842f000000000p+21	0x1.c8ced34420edcp+2
28	0x1.870a3d70a3d71p+2	0x1.b9e5000000000p+20	0x1.1b0f847d6d6bdp+3
29	0x1.b70a3d70a3d71p+2	0x1.bfff800000000p+21	0x1.32c680a9396f6p+3
30	0x1.a47ae147ae148p+2	0x1.6cfd800000000p+21	0x1.2dbae91965d89p+3
31	0x1.8666666666666p+2	0x1.e980800000000p+21	0x1.134430f9e8524p+3
32	0x1.e0a3d70a3d70ap+2	0x1.3c29800000000p+21	0x1.482828d1ed07cp+3
33	0x1.999999999999ap+2	0x1.45ed800000000p+21	0x1.2a3364e343f27p+3
34	0x1.2000000000000p+2	0x1.9ac4400000000p+22	0x1.0153cca01d4b1p+3
35	0x1.2333333333333p+2	0x1.0dc6800000000p+22	0x1.f5bdfac88b69fp+2
36	0x1.4147ae147ae14p+1	0x1.842f000000000p+21	0x1.b95f46a39df2ap+2
37	0x1.23d70a3d70a3dp+0	0x1.31c9400000000p+22	0x1.8142331eef049p+2
38	-0x1.47ae147ae147bp-5	0x1.3cc5c00000000p+22	0x1.5f88bfc166378p+2
39	0x1.eb851eb851eb8p-5	0x1.66e3000000000p+20	0x1.7559142e97a84p+2
40	0x1.8f5c28f5c28f6p+0	0x1.4726000000000p+21	0x1.901c2fdb2019cp+2
41	0x1.3d70a3d70a3d7p+1	0x1.d24f000000000p+20	0x1.bf6d19252d218p+2
42	0x1.c0a3d70a3d70ap+2	0x1.2d83800000000p+21	0x1.2d1ac8fa362d8p+3
43	0x1.d28f5c28f5c29p+2	0x1.f95efffffffffp+21	0x1.2d8580ba9a1cep+3
44	0x1.b666666666666p+2	0x1.a524800000000p+21	0x1.1b42084d5aa3ep+3
45	0x1.2b851eb851eb8p+2	0x1.c3a9000000000p+20	0x1.02c8257669fc2p+3
46	0x1.81eb851eb851fp+2	0x1.e5d7000000000p+22	0x1.f1807d48a84d8p+2
47	0x1.4b851eb851eb8p+2	0x1.77fa000000000p+22	0x1.d7b5bbf4bc612p+2
48	0x1.351eb851eb852p+2	0x1.0673800000000p+22	0x1.ec3f0450d91aap+2
49	0x1.57ae147ae147bp+2	0x1.214e800000000p+21	0x1.0cfaafa053358p+3
50	0x1.451eb851eb852p+2	0x1.049ec00000000p+22	0x1.043e59561a858p+3
51	0x1.b851eb851eb85p+2	0x1.022dc00000000p+22	0x1.2bdb695298c36p+3
52	0x1.8e147ae147ae1p+2	0x1.1edd800000000p+21	0x1.240fa781c42e1p+3
53	0x1.b47ae147ae148p+2	0x1.5d1f000000000p+22	0x1.1aaa94b0d1867p+3
54	0x1.0851eb851eb85p+3	0x1.9d35400000000p+22	0x1.433ef8e5a7b23p+3
55	0x1.123d70a3d70a4p+3	0x1.f826800000000p+21	0x1.482828d1ed07cp+3
56	0x1.c3d70a3d70a3dp+2	0x1.0a1d000000000p+21	0x1.282446a653169p+3
57	0x1.a0a3d70a3d70ap+2	0x1.f5b5800000001p+21	0x1.1500dd6d663aep+3
58	0x1.9a3d70a3d70a4p+2	0x1.3d62000000000p+21	0x1.1b0f847d6d6bdp+3
59	0x1.1e66666666666p+3	0x1.8df3000000000p+22	0x1.3fef53ecee0a7p+3
60	0x1.ea3d70a3d70a4p+2	0x1.cb98400000000p+22	0x1.17559c7e48055p+3
61	0x1.4f5c28f5c28f6p+2	0x1.9d35400000000p+22	0x1.c251c17f3cc1cp+2
62	0x1.2a3d70a3d70a4p+2	0x1.650e400000000p+22	0x1.000f82fb5cffep+3
63	0x1.cf5c28f5c28f6p+2	0x1.8c1e400000000p+22	0x1.206e5d3124cbcp+3
64	0x1.03d70a3d70a3dp+3	0x1.fda4c00000000p+22	0x1.2340425c7a135p+3
65	0x1.e47ae147ae148p+2	0x1.60c8800000000p+21	0x1.2d5020b093d70p+3
66	0x1.0000000000000p+3	0x1.de84000000000p+21	0x1.3a442e86b4cddp+3
67	0x1.9851eb851eb85p+2	0x1.677f400000000p+23	0x1.19e11446a0e30p+3
68	0x1.6cccccccccccdp+2	0x1.0ab9400000000p+22	0x1.13757a4e8610cp+3
69	0x1.7ae147ae147aep+2	0x1.4d40800000000p+23	0x1.0d5b4cf3c211fp+3
70	0x1.e70a3d70a3d71p+2	0x1.6d99c00000000p+23	0x1.29fe898e93edap+3
